C,Gamma,Kernel,subset,Ft_type,acc,f1_tub,f1_macro
5,scale,rbf,small_without_noise_not_inverted,raw,0.7585350713842334,0.42473745624270715,0.6791540366554073
5,scale,rbf,small_without_noise_not_inverted,pca,0.5279329608938548,0.20689655172413793,0.4374858068449731
5,scale,rbf,small_without_noise_not_inverted,var,0.6617008069522036,0.33914053426248547,0.5798836786104298
5,scale,rbf,small_with_noise_inverted,raw,0.7890164443065467,0.5092707045735475,0.720798081523602
5,scale,rbf,small_with_noise_inverted,pca,0.5515207945375543,0.20266120777891505,0.46097445349562927
5,scale,rbf,small_with_noise_inverted,var,0.6896337678460583,0.36046511627906974,0.6075714969438506
5,scale,rbf,medium_with_noise_inverted,raw,0.7837418554142104,0.4774665042630938,0.7122522351280726
5,scale,rbf,medium_with_noise_inverted,pca,0.5535215637604716,0.24039653035935563,0.46250878449312854
5,scale,rbf,medium_with_noise_inverted,var,0.6869376357430965,0.38461538461538464,0.6130240743722366
5,0.001,rbf,small_without_noise_not_inverted,raw,0.710207880856345,0.41601392515230634,0.6595814288764922
5,0.001,rbf,small_without_noise_not_inverted,pca,0.4793670493329196,0.24727838258164853,0.4285802377481854
5,0.001,rbf,small_without_noise_not_inverted,var,0.5869025450031037,0.3089930822444274,0.5332971632057518
5,0.001,rbf,small_with_noise_inverted,raw,0.7346368715083799,0.456439393939394,0.6832187167354032
5,0.001,rbf,small_with_noise_inverted,pca,0.5223463687150838,0.20616570327552988,0.44732640266914525
5,0.001,rbf,small_with_noise_inverted,var,0.6304685076016134,0.3768382352941176,0.5786498597339694
5,0.001,rbf,medium_with_noise_inverted,raw,0.7380509000620733,0.4593837535014006,0.6850320761748471
5,0.001,rbf,medium_with_noise_inverted,pca,0.5069810735339746,0.22680412371134023,0.43507443168819687
5,0.001,rbf,medium_with_noise_inverted,var,0.6267452683834936,0.3695450324976788,0.5737055009916623
10,scale,rbf,small_without_noise_not_inverted,raw,0.7731222842954687,0.43434343434343436,0.6886283385951332
10,scale,rbf,small_without_noise_not_inverted,pca,0.5307262569832403,0.20765027322404372,0.43059962201171526
10,scale,rbf,small_without_noise_not_inverted,var,0.6729754886751473,0.32682926829268294,0.5859923462940367
10,scale,rbf,small_with_noise_inverted,raw,0.7977040024821594,0.4973821989528796,0.7234933117724257
10,scale,rbf,small_with_noise_inverted,pca,0.5325884543761639,0.18006430868167203,0.4339056754159363
10,scale,rbf,small_with_noise_inverted,var,0.7048417132216015,0.35032679738562095,0.6142495727639244
10,scale,rbf,medium_with_noise_inverted,raw,0.7918088737201365,0.48634590377113135,0.7184689374331034
10,scale,rbf,medium_with_noise_inverted,pca,0.5603475023270245,0.24145299145299146,0.4673900536468887
10,scale,rbf,medium_with_noise_inverted,var,0.6940738442444927,0.3914590747330961,0.6172057165582326
10,0.001,rbf,small_without_noise_not_inverted,raw,0.7265673494723774,0.42066420664206644,0.6661825884519549
10,0.001,rbf,small_without_noise_not_inverted,pca,0.4939497362705554,0.2463295269168026,0.43575417909542985
10,0.001,rbf,small_without_noise_not_inverted,var,0.6042830540037244,0.3146622734761121,0.5485864440547276
10,0.001,rbf,small_with_noise_inverted,raw,0.7598510704312752,0.49041372351160445,0.7063473427438168
10,0.001,rbf,small_with_noise_inverted,pca,0.5167597765363129,0.20466786355475766,0.4441681506260781
10,0.001,rbf,small_with_noise_inverted,var,0.6444306546695625,0.378743961352657,0.5876626439399218
10,0.001,rbf,medium_with_noise_inverted,raw,0.7529484792054625,0.4790652385589095,0.6966331311859745
10,0.001,rbf,medium_with_noise_inverted,pca,0.5156686317095873,0.23529411764705885,0.4453190699547536
10,0.001,rbf,medium_with_noise_inverted,var,0.6403971455165994,0.38533834586466165,0.588438553810572
100,scale,rbf,small_without_noise_not_inverted,raw,0.7681564245810056,0.39221140472878996,0.6704544335726101
100,scale,rbf,small_without_noise_not_inverted,pca,0.5152079453755432,0.19660194174757278,0.4106387605156467
100,scale,rbf,small_without_noise_not_inverted,var,0.6791808873720137,0.28885832187070154,0.56955890082972
100,scale,rbf,small_with_noise_inverted,raw,0.7914986037852932,0.4513399153737659,0.6988306547766524
100,scale,rbf,small_with_noise_inverted,pca,0.5403476101800124,0.16147635524798157,0.4210272852876058
100,scale,rbf,small_with_noise_inverted,var,0.7108284207260317,0.3169705469845722,0.6005217255772314
100,scale,rbf,medium_with_noise_inverted,raw,0.7855369335816264,0.4421965317919075,0.7019696166683703
100,scale,rbf,medium_with_noise_inverted,pca,0.5802047781569966,0.21212121212121213,0.46295126253993674
100,scale,rbf,medium_with_noise_inverted,var,0.7157927396835246,0.34408602150537637,0.6150748420501647
100,0.001,rbf,small_without_noise_not_inverted,raw,0.7675356921166977,0.44419134396355353,0.6893820875691384
100,0.001,rbf,small_without_noise_not_inverted,pca,0.5060502637294446,0.208955223880597,0.42480966001203124
100,0.001,rbf,small_without_noise_not_inverted,var,0.6747361887026692,0.35179153094462545,0.5965268907971623
100,0.001,rbf,small_with_noise_inverted,raw,0.7986348122866894,0.5175332527206771,0.7340638623959105
100,0.001,rbf,small_with_noise_inverted,pca,0.5201738050900062,0.18217821782178217,0.43228416674183107
100,0.001,rbf,small_with_noise_inverted,var,0.7033819422897921,0.3828877005347594,0.6292702212879285
100,0.001,rbf,medium_with_noise_inverted,raw,0.7951582867783985,0.509090909090909,0.7291003297756425
100,0.001,rbf,medium_with_noise_inverted,pca,0.5566242631089048,0.2384887839433294,0.47066622187757057
100,0.001,rbf,medium_with_noise_inverted,var,0.6928327645051194,0.4182590233545648,0.6275892713118044
